"Dataset","Tissue","Species","Method","LLMBackend","LLMModelID","Replicate","RefinementSelector","RefinementBudgetK","Bin","BinLower","BinUpper","N","Coverage","MeanConfidence","Accuracy","AbsCalibrationError"
"PBMC","PBMC","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,1,0,0.1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,7,0.6,0.7,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,8,0.7,0.8,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,9,0.8,0.9,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,10,0.9,1,8,1,0.95,1,0.05
"PBMC","PBMC","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,1,0,0.1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,7,0.6,0.7,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,8,0.7,0.8,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,9,0.8,0.9,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,10,0.9,1,8,1,0.95,1,0.05
"PBMC","PBMC","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,1,0,0.1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,7,0.6,0.7,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,8,0.7,0.8,1,0.125,0.774,1,0.226
"PBMC","PBMC","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,9,0.8,0.9,7,0.875,0.869571428571429,1,0.130428571428571
"PBMC","PBMC","Human","DeepSeekCell-Calibrated","deepseek","deepseek-chat",1,"none",0,10,0.9,1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,1,0,0.1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,2,0.1,0.2,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,3,0.2,0.3,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,4,0.3,0.4,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,5,0.4,0.5,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,6,0.5,0.6,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,7,0.6,0.7,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,8,0.7,0.8,1,0.125,0.774,1,0.226
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,9,0.8,0.9,7,0.875,0.869571428571429,1,0.130428571428571
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat",1,"evidence-k",0,10,0.9,1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,1,0,0.1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,2,0.1,0.2,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,3,0.2,0.3,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,4,0.3,0.4,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,5,0.4,0.5,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,6,0.5,0.6,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,7,0.6,0.7,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,8,0.7,0.8,1,0.125,0.774,1,0.226
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,9,0.8,0.9,7,0.875,0.869571428571429,1,0.130428571428571
"PBMC","PBMC","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,10,0.9,1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,1,0,0.1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,2,0.1,0.2,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,3,0.2,0.3,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,4,0.3,0.4,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,5,0.4,0.5,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,6,0.5,0.6,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,7,0.6,0.7,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,8,0.7,0.8,1,0.125,0.774,1,0.226
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,9,0.8,0.9,7,0.875,0.869571428571429,1,0.130428571428571
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,10,0.9,1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,1,0,0.1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,2,0.1,0.2,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,3,0.2,0.3,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,4,0.3,0.4,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,5,0.4,0.5,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,6,0.5,0.6,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,7,0.6,0.7,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,8,0.7,0.8,1,0.125,0.774,1,0.226
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,9,0.8,0.9,7,0.875,0.869571428571429,1,0.130428571428571
"PBMC","PBMC","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,10,0.9,1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",8,1,0,0.1,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",8,2,0.1,0.2,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",8,3,0.2,0.3,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",8,4,0.3,0.4,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",8,5,0.4,0.5,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",8,6,0.5,0.6,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",8,7,0.6,0.7,0,0,NA,NA,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",8,8,0.7,0.8,1,0.125,0.774,1,0.226
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",8,9,0.8,0.9,7,0.875,0.869571428571429,1,0.130428571428571
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",8,10,0.9,1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,5,0.4,0.5,1,0.0625,0.5,0,0.5
"BaronPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,7,0.6,0.7,2,0.125,0.7,0,0.7
"BaronPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,8,0.7,0.8,2,0.125,0.8,0.5,0.3
"BaronPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,9,0.8,0.9,3,0.1875,0.9,1,0.1
"BaronPancreas","Pancreas","Human","DeepSeek-Plain","deepseek","deepseek-chat",1,"none",0,10,0.9,1,8,0.5,0.96875,1,0.03125
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence","deepseek","deepseek-chat",1,"none",0,1,0,0.1,0,0,NA,NA,NA
